URLS,"Tuesday, 2021-11-30 17:40:01","Tuesday, 2021-11-30 17:45:22"
https://www.amazon.in/Saregama-Carvaan-Portable-Digital-Porcelain/dp/B079KFB8JQ,Not Available,Not Available
https://www.amazon.in/Stone-1401-Bluetooth-Connectivity-Resistance/dp/B086Q1JMLR,Not Available,0
https://www.amazon.in/Saregama-Carvaan-SCM02-Bluetooth-Speaker/dp/B07GZHQFYR,"₹2,090.00",0
https://www.amazon.in/Hitachi-Inverter-Compressor-Refrigerator-R-WB560PND9-GBW/dp/B08D6RVQQ4,"₹79,990.00",0
https://www.amazon.in/Haier-Refrigerator-HRB-3664BS-Convertible-Bottom-Freezer-2021/dp/B093FQ9641,Not Available,0
https://www.amazon.in/Hitachi-Multi-Door-Refrigerator-R-WB490PND9-GBW/dp/B08C6DNJNC,Not Available,0
https://www.amazon.in/Hitachi-Frost-Double-Refrigerator-R-B500PND6/dp/B078FYS3KH,Not Available,Not Available
https://www.amazon.in/Haier-Frost-Free-Refrigerator-HRB-550CG-Chocolate/dp/B07TLLYB9G,Not Available,0
https://www.amazon.in/Nikon-D780-DSLR-Body-24-120mm/dp/B084CD1628,"₹2,20,000.00",0
https://www.amazon.in/Nikon-FX-Format-Mirrorless-24-70mm-Adapter/dp/B07GPH7M5X,Not Available,Not Available
https://www.amazon.in/Nikon-D5600-18-55-70-300-Memory/dp/B01N58T6KA,Not Available,Not Available
https://www.amazon.in/Haier-Frost-Free-Refrigerator-HRB-2964BS-Brushline/dp/B088PGK7DM,"₹26,500.00","₹26,500.00"
https://www.amazon.in/Nikon-Z50-Mirrorless-16-50mm-3-5-6-3/dp/B084PRG1FY,"₹84,859.00",0
https://www.amazon.in/Saregama-Carvaan-3000-Pre-Loaded-Retro/dp/B084VJD2BC,Not Available,0
https://www.amazon.in/Nikon-D850-45-7MP-Digital-24-120mm/dp/B07872WZQ7,"₹2,76,012.00","₹2,76,012.00"
https://www.amazon.in/Haier-Inverter-Refrigerator-Convertible-HEF-39TSS/dp/B091TZRL28,Not Available,0
https://www.amazon.in/Haier-Refrigerator-HRB-3964CIS-Convertible-Bottom-Freezer-2021/dp/B095N9SRJ1,Not Available,0
https://www.amazon.in/Bajaj-Electra-52-Watt-Ceiling-White/dp/B00KL56GU2,"₹1,890.00",0
https://www.amazon.in/Havells-Enticer-1200mm-Ceiling-Rose/dp/B01FMAY0LM,"₹3,450.00",0
https://www.amazon.in/Usha-Striker-Galaxy-80-Watt-Ceiling/dp/B06WW8BLJN,Not Available,0
https://www.amazon.in/Bajaj-Elegance-Premium-Ceiling-Bianco/dp/B00KQFENL6,Not Available,Not Available
https://www.amazon.in/Usha-Spin-1200mm-3-Blade-Ceiling/dp/B06XMXHVZL,"₹1,844.00",0
https://www.amazon.in/Usha-Striker-Galaxy-80-watt-Dust/dp/B07DPYQPMG,"₹2,551.00",0
https://www.amazon.in/Havells-Enticer-1200-Ceiling-White/dp/B071GVJ6XG,"₹7,699.00",0
https://www.amazon.in/Usha-Striker-Platinum-Ceiling-Metallic/dp/B07168WJM9,"₹2,450.00","₹2,450.00"
https://www.amazon.in/Havells-Enticer-Ceiling-Black-Copper/dp/B073YFXWJH,"₹7,280.00","₹7,280.00"
https://www.amazon.in/SUNFLAME-Chimney-InnovaDx60-Filters-Control/dp/B077QHCMQD,Not Available,0
https://www.amazon.in/Bajaj-Ultima-DZiner2T-1200mm-Ceiling/dp/B01D36UEM6,"₹1,947.00",0
https://www.amazon.in/SUNFLAME-INNOVA-Clean-Steel-Chimney/dp/B07GXLVJ4T,Not Available,0
https://www.amazon.in/Glen-Stainless-Chimney-Filters-Kitchen/dp/B07GBXXKL3,"₹12,995.00",0
https://www.amazon.in/Bosch-Integrated-Mounted-Chimney-DWH098D60I/dp/B084G5XH91,"₹22,999.00",0
https://www.amazon.in/Bosch-Chimney-DWG068D50I-Baffle-Filters/dp/B07CLHVMYW,"₹17,990.00","₹17,990.00"
https://www.amazon.in/SUNFLAME-90-BK-Auto-Clean-INNOVA/dp/B095PNKVJQ,Not Available,Not Available
https://www.amazon.in/SUNFLAME-60-Heat-Operated-Auto-Powder-Coated/dp/B08FGNLPZM,Not Available,0
https://www.amazon.in/Lenovo-IdeaPad-Convertible-Graphite-81X10083IN/dp/B087D4L4JD,Not Available,0
https://www.amazon.in/Sunflame-Ductless-Chimney-Charcoal-Control/dp/B01AW58A9A,Not Available,0
https://www.amazon.in/Chimney-Baffle-Filters-Stainless-Sensor/dp/B07GBY1KY7,"₹14,995.00",0
https://www.amazon.in/Lenovo-V15-Laptop-Windows-82KB00M0IH/dp/B09BVYXPWP,Not Available,0
https://www.amazon.in/Inspiron-5491-Touchscreen-i3-10110U-Graphics/dp/B0842ZLD19,Not Available,Not Available
https://www.amazon.in/Dell-Inspiron-i3-1115G4-Integrated-D560366WIN9S/dp/B08M616B21,Not Available,0
https://www.amazon.in/Dell-Inspiron-5410-i3-1125G4-D560466WIN9S/dp/B093H9BJQH,Not Available,0
https://www.amazon.in/Lenovo-Ideapad-Convertible-Laptop-81TK00GTIN/dp/B08695HMJQ,Not Available,Not Available
https://www.amazon.in/HP-Touchscreen-Convertible-Fingerprint-13-bd0515TU/dp/B09GVJRT2M,Not Available,0
https://www.amazon.in/Lenovo-Touchscreen-Digital-Aluminium-82BH00E0IN/dp/B09B7SGFPP,"₹1,01,156.00","₹1,01,156.00"
https://www.amazon.in/Envy-x360-Convertible-Touchscreen-13-ay0508AU/dp/B098NNR5XH,"₹94,529.00","₹94,529.00"
https://www.amazon.in/Blue-Star-CHBK300-double-bottle/dp/B07PNHLC6M,Not Available,0
https://www.amazon.in/Panasonic-Automatic-Washing-Machine-NA-F65L9HRB/dp/B08X6PY5MP,Not Available,0
